warning QA1001: Badly formed XML comment ignored for member "M:Cambia.Web.CoreLib.PathHelper.GetUriSegments(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Object.Update"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Page.Update"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.List.Dropdown.#ctor(System.String,System.Int32,System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.List.Dropdown.#ctor(System.String,System.Int32,System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.List.Dropdown.#ctor(System.String,System.Int32,System.Int32)"
warning QA1001: Badly formed XML comment ignored for member "M:RXServer.Web.Parse.AttributeList.Add(RXServer.Web.Parse.Attribute)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.Web.Parse.Parse.GetCurrentChar"
warning QA1001: Badly formed XML comment ignored for member "P:RXServer.Web.Parse.Parse.ParseName"
warning QA1001: Badly formed XML comment ignored for member "P:RXServer.Web.Parse.Parse.ParseValue"
warning QA1001: Badly formed XML comment ignored for member "P:RXServer.Web.Parse.Parse.ParseDelim"
warning QA1001: Badly formed XML comment ignored for member "P:RXServer.Web.Parse.Parse.Source"
information QA1004: blank or 'noise' <summary> tag ignored for member: "T:RXServer.Web.Parse.ParseHTML"
information QA1004: blank or 'noise' <summary> tag ignored for member: "T:RXServer.SiteCollection"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.GetSite(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.SiteCollection.GetSite(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.SiteCollection.GetSite(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.GetSite(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.SiteCollection.GetSite(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.SiteCollection.GetSite(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.SiteCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.SiteCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.SiteCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.SiteCollection.Contains(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.Add(RXServer.Site)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.SiteCollection.Add(RXServer.Site)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.Remove(RXServer.Site)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.SiteCollection.Remove(RXServer.Site)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.SiteCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.Clear"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.SiteCollection.Count"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.SiteCollection.Count"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.SiteCollection.Item(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.SiteCollection.Items"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Site.#ctor(System.String,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Site.#ctor(System.String,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Site.#ctor(System.String,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Site.#ctor(System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Site.#ctor(System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Site.#ctor(System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Site.#ctor(System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Site.#ctor(System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Site.#ctor(System.String,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Site.#ctor(System.String,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Site.#ctor(System.Int32,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Site.#ctor(System.Int32,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Site.#ctor(System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.PageCollection.GetPage(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.PageCollection.GetPage(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.PageCollection.GetPage(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.PageCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.PageCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.PageCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.PageCollection.Contains(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.PageCollection.Item(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.PageCollection.Items"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.GetTask(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.GetTask(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.TaskCollection.GetTask(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Add(RXServer.Task)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Remove(RXServer.Task)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Remove(RXServer.Task)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Count"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.TaskCollection.Count"
